STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Neighborhood,City
30133.0,N,Dempster (Linden-bound),Dempster,Dempster (Purple Line),40690.0,False,False,False,False,False,True,True,False,False,False,"(42.041655, -87.681602)",NA,Evanston
30103.0,N,Diversey (Kimball-Linden-bound),Diversey,Diversey (Brown & Purple Lines),40530.0,True,False,False,False,True,False,True,False,False,False,"(41.932732, -87.653131)",Lincoln Park,Chicago
30104.0,S,Diversey (Loop-bound),Diversey,Diversey (Brown & Purple Lines),40530.0,True,False,False,False,True,False,True,False,False,False,"(41.932732, -87.653131)",Lincoln Park,Chicago
30063.0,S,Division (Forest Pk-bound),Division,Division (Blue Line),40320.0,False,False,True,False,False,False,False,False,False,False,"(41.903355, -87.666496)",Pulaski Park,Chicago
30076.0,E,Forest Park (O'Hare-bound),Forest Park,Forest Park (Blue Line),40390.0,True,False,True,False,False,False,False,False,False,False,"(41.874257, -87.817318)",NA,Forest Park
30077.0,W,Forest Park (Terminal Arrival),Forest Park,Forest Park (Blue Line),40390.0,True,False,True,False,False,False,False,False,False,False,"(41.874257, -87.817318)",NA,Forest Park
30102.0,S,Foster (Howard-Loop-bound),Foster,Foster (Purple Line),40520.0,False,False,False,False,False,True,True,False,False,False,"(42.05416, -87.68356)",NA,Evanston
30101.0,N,Foster (Linden-bound),Foster,Foster (Purple Line),40520.0,False,False,False,False,False,True,True,False,False,False,"(42.05416, -87.68356)",NA,Evanston
30167.0,N,Francisco (Kimball-bound),Francisco,Francisco (Brown Line),40870.0,True,False,False,False,True,False,False,False,False,False,"(41.966046, -87.701644)",Albany Park,Chicago
30168.0,S,Francisco (Loop-bound),Francisco,Francisco (Brown Line),40870.0,True,False,False,False,True,False,False,False,False,False,"(41.966046, -87.701644)",Albany Park,Chicago
30234.0,S,Fullerton (95th-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220.0,True,True,False,False,False,False,False,False,False,False,"(41.925051, -87.652866)",Sheffield & DePaul,Chicago
30233.0,N,Fullerton (Howard-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220.0,True,True,False,False,False,False,False,False,False,False,"(41.925051, -87.652866)",Sheffield & DePaul,Chicago
30235.0,N,Fullerton (Kimball-Linden-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220.0,True,False,False,False,True,False,True,False,False,False,"(41.925051, -87.652866)",Sheffield & DePaul,Chicago
30236.0,S,Fullerton (Loop-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220.0,True,False,False,False,True,False,True,False,False,False,"(41.925051, -87.652866)",Sheffield & DePaul,Chicago
30100.0,S,Garfield (63rd-bound),Garfield,Garfield (Green Line),40510.0,True,False,False,True,False,False,False,False,False,False,"(41.795172, -87.618327)",Washington Park,Chicago
30099.0,N,Garfield (Harlem-bound),Garfield,Garfield (Green Line),40510.0,True,False,False,True,False,False,False,False,False,False,"(41.795172, -87.618327)",Washington Park,Chicago
30096.0,S,Grand/Milwaukee (Forest Pk-bound),Grand,Grand (Blue Line),40490.0,False,False,True,False,False,False,False,False,False,False,"(41.891189, -87.647578)",West Town,Chicago
30095.0,N,Grand/Milwaukee (O'Hare-bound),Grand,Grand (Blue Line),40490.0,False,False,True,False,False,False,False,False,False,False,"(41.891189, -87.647578)",West Town,Chicago
30065.0,S,Grand/State (95th-bound),Grand,Grand (Red Line),40330.0,True,True,False,False,False,False,False,False,False,False,"(41.891665, -87.628021)",River North,Chicago
30064.0,N,Grand/State (Howard-bound),Grand,Grand (Red Line),40330.0,True,True,False,False,False,False,False,False,False,False,"(41.891665, -87.628021)",River North,Chicago
30148.0,S,Granville (95th-bound),Granville,Granville (Red Line),40760.0,True,True,False,False,False,False,False,False,False,False,"(41.993664, -87.659202)",Edgewater,Chicago
30147.0,N,Granville (Howard-bound),Granville,Granville (Red Line),40760.0,True,True,False,False,False,False,False,False,False,False,"(41.993664, -87.659202)",Edgewater,Chicago
30215.0,N,Halsted (Loop-bound),Halsted,Halsted (Orange Line),41130.0,True,False,False,False,False,False,False,False,False,True,"(41.84678, -87.648088)",Bridgeport,Chicago
30216.0,S,Halsted (Midway-bound),Halsted,Halsted (Orange Line),41130.0,True,False,False,False,False,False,False,False,False,True,"(41.84678, -87.648088)",Bridgeport,Chicago
30184.0,W,Halsted/63rd (Ashland-bound),Halsted,Halsted (Green Line),40940.0,True,False,False,True,False,False,False,False,False,False,"(41.778943, -87.644244)",Englewood,Chicago
30183.0,E,Halsted/63rd (Harlem-bound),Halsted,Halsted (Green Line),40940.0,True,False,False,True,False,False,False,False,False,False,"(41.778943, -87.644244)",Englewood,Chicago
30146.0,S,Harlem (O'Hare Branch) (Forest Pk-bound),Harlem,Harlem (Blue Line - O'Hare Branch),40750.0,True,False,True,False,False,False,False,False,False,False,"(41.98227, -87.8089)",Oriole Park,Chicago
30145.0,N,Harlem (O'Hare Branch) (O'Hare-bound),Harlem,Harlem (Blue Line - O'Hare Branch),40750.0,True,False,True,False,False,False,False,False,False,False,"(41.98227, -87.8089)",Oriole Park,Chicago
30004.0,W,Harlem (Terminal arrival),Harlem/Lake,Harlem/Lake (Green Line),40020.0,True,False,False,True,False,False,False,False,False,False,"(41.886848, -87.803176)",NA,Oak Park
30003.0,E,Harlem (63rd-bound),Harlem/Lake,Harlem/Lake (Green Line),40020.0,True,False,False,True,False,False,False,False,False,False,"(41.886848, -87.803176)",NA,Oak Park
30286.0,S,Harrison (95th-bound),Harrison,Harrison (Red Line),41490.0,False,True,False,False,False,False,False,False,False,False,"(41.874039, -87.627479)",Chicago Loop,Chicago
30285.0,N,Harrison (Howard-bound),Harrison,Harrison (Red Line),41490.0,False,True,False,False,False,False,False,False,False,False,"(41.874039, -87.627479)",Chicago Loop,Chicago
30062.0,N,Division (O'Hare-bound),Division,Division (Blue Line),40320.0,False,False,True,False,False,False,False,False,False,False,"(41.903355, -87.666496)",Pulaski Park,Chicago
30224.0,S,Garfield (95th-bound),Garfield,Garfield (Red Line),41170.0,True,True,False,False,False,False,False,False,False,False,"(41.79542, -87.631157)",Fuller Park,Chicago
30189.0,E,Harlem (Forest Pk Branch) (O'Hare-bound),Harlem,Harlem (Blue Line - Forest Park Branch),40980.0,False,False,True,False,False,False,False,False,False,False,"(41.87349, -87.806961)",NA,Forest Park
30166.0,W,H.W. Library (Inner Loop),Harold Washington Library-State/Van Buren,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)",40850.0,True,False,False,False,False,False,True,False,True,True,"(41.876862, -87.628196)",Chicago Loop,Chicago
30176.0,S,Howard (Terminal arrival),Howard,"Howard (Red, Purple & Yellow Lines)",40900.0,True,False,False,False,False,True,True,True,False,False,"(42.019063, -87.672892)",Rogers Park,Chicago
30173.0,N,Howard (Terminal arrival),Howard,"Howard (Red, Purple & Yellow Lines)",40900.0,True,True,False,False,False,False,False,False,False,False,"(42.019063, -87.672892)",Rogers Park,Chicago
30174.0,S,Howard (95th-Bound),Howard,"Howard (Red, Purple & Yellow Lines)",40900.0,True,True,False,False,False,False,False,False,False,False,"(42.019063, -87.672892)",Rogers Park,Chicago
30158.0,W,Illinois Medical District (Forest Pk-bound),Illinois Medical District,Illinois Medical District (Blue Line),40810.0,True,False,True,False,False,False,False,False,False,False,"(41.875706, -87.673932)",Near West Side,Chicago
30157.0,E,Illinois Medical District (O'Hare-bound),Illinois Medical District,Illinois Medical District (Blue Line),40810.0,True,False,True,False,False,False,False,False,False,False,"(41.875706, -87.673932)",Near West Side,Chicago
30059.0,S,Indiana (63rd-bound),Indiana,Indiana (Green Line),40300.0,True,False,False,True,False,False,False,False,False,False,"(41.821732, -87.621371)",Bronzeville,Chicago
30058.0,N,Indiana (Harlem-bound),Indiana,Indiana (Green Line),40300.0,True,False,False,True,False,False,False,False,False,False,"(41.821732, -87.621371)",Bronzeville,Chicago
30108.0,S,Irving Park (O'Hare Branch) (Forest Pk-bound),Irving Park,Irving Park (Blue Line),40550.0,False,False,True,False,False,False,False,False,False,False,"(41.952925, -87.729229)",Old Irving Park,Chicago
30107.0,N,Irving Park (O'Hare Branch) (O'Hare-bound),Irving Park,Irving Park (Blue Line),40550.0,False,False,True,False,False,False,False,False,False,False,"(41.952925, -87.729229)",Old Irving Park,Chicago
30281.0,N,Irving Park (Kimball-bound),Irving Park,Irving Park (Brown Line),41460.0,True,False,False,False,True,False,False,False,False,False,"(41.954521, -87.674868)",North Center,Chicago
30282.0,S,Irving Park (Loop-bound),Irving Park,Irving Park (Brown Line),41460.0,True,False,False,False,True,False,False,False,False,False,"(41.954521, -87.674868)",North Center,Chicago
30015.0,S,Jackson/Dearborn (Forest Pk-bound),Jackson,Jackson (Blue Line),40070.0,True,False,True,False,False,False,False,False,False,False,"(41.878183, -87.629296)",Chicago Loop,Chicago
30014.0,N,Jackson/Dearborn (O'Hare-bound),Jackson,Jackson (Blue Line),40070.0,True,False,True,False,False,False,False,False,False,False,"(41.878183, -87.629296)",Chicago Loop,Chicago
30110.0,S,Jackson/State (95th-bound),Jackson,Jackson (Red Line),40560.0,True,True,False,False,False,False,False,False,False,False,"(41.878153, -87.627596)",Chicago Loop,Chicago
30109.0,N,Jackson/State (Howard-bound),Jackson,Jackson (Red Line),40560.0,True,True,False,False,False,False,False,False,False,False,"(41.878153, -87.627596)",Chicago Loop,Chicago
30228.0,S,Jarvis (95th-bound),Jarvis,Jarvis (Red Line),41190.0,False,True,False,False,False,False,False,False,False,False,"(42.015876, -87.669092)",Rogers Park,Chicago
30227.0,N,Jarvis (Howard-bound),Jarvis,Jarvis (Red Line),41190.0,False,True,False,False,False,False,False,False,False,False,"(42.015876, -87.669092)",Rogers Park,Chicago
