Station Name,Location,Neighborhood,City,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O
Pulaski (Blue Line),"(41.873797, -87.725663)",Garfield Park,Chicago,False,True,False,False,False,False,False,False,False
Pulaski (Green Line),"(41.885412, -87.725404)",Garfield Park,Chicago,False,False,True,False,False,False,False,False,False
Pulaski (Orange Line),"(41.799756, -87.724493)",Archer Heights,Chicago,False,False,False,False,False,False,False,False,True
Pulaski (Pink Line),"(41.853732, -87.724311)",North Lawndale,Chicago,False,False,False,False,False,False,False,True,False
"Quincy/Wells (Brown, Orange, Purple & Pink Lines)","(41.878723, -87.63374)",Chicago Loop,Chicago,False,False,False,True,False,True,False,True,True
Racine (Blue Line),"(41.87592, -87.659458)",Near West Side,Chicago,False,True,False,False,False,False,False,False,False
Randolph/Wabash (Closed),"(41.884431, -87.626149)",Chicago Loop,Chicago,False,False,True,True,False,True,False,True,True
Ridgeland (Green Line),"(41.887159, -87.783661)",,Oak Park,False,False,True,False,False,False,False,False,False
Rockwell (Brown Line),"(41.966115, -87.6941)",Ravenswood Gardens,Chicago,False,False,False,True,False,False,False,False,False
"Roosevelt (Red, Orange & Green Lines)","(41.867368, -87.627402)",Chicago Loop,Chicago,True,False,True,False,False,False,False,False,True
Rosemont (Blue Line),"(41.983507, -87.859388)",,Rosemont,False,True,False,False,False,False,False,False,False
Sedgwick (Brown & Purple Lines),"(41.910409, -87.639302)",Near North Side,Chicago,False,False,False,True,False,True,False,False,False
Sheridan (Red Line),"(41.953775, -87.654929)",Lake View East,Chicago,True,False,False,False,False,False,False,False,False
South Boulevard (Purple Line),"(42.027612, -87.678329)",,Evanston,False,False,False,False,True,True,False,False,False
Southport (Brown Line),"(41.943744, -87.663619)",Lake View,Chicago,False,False,False,True,False,False,False,False,False
Sox-35th (Red Line),"(41.831191, -87.630636)",Armour Square,Chicago,True,False,False,False,False,False,False,False,False
"State/Lake (Brown, Green, Orange, Pink & Purple Lines)","(41.88574, -87.627835)",Chicago Loop,Chicago,False,False,True,True,False,True,False,True,True
Thorndale (Red Line),"(41.990259, -87.659076)",Edgewater,Chicago,True,False,False,False,False,False,False,False,False
UIC-Halsted (Blue Line),"(41.875474, -87.649707)",Near West Side,Chicago,False,True,False,False,False,False,False,False,False
Washington (Blue Line),"(41.883164, -87.62944)",Chicago Loop,Chicago,False,True,False,False,False,False,False,False,False
Washington/State (Closed),"(41.8837, -87.6278)",Chicago Loop,Chicago,True,False,False,False,False,False,False,False,False
"Washington/Wabash (Brown, Green, Orange, Purple & Pink Lines)","(41.88322, -87.626189)",Chicago Loop,Chicago,False,False,True,True,False,True,False,True,True
"Washington/Wells (Brown, Orange, Purple & Pink Lines)","(41.882695, -87.63378)",Chicago Loop,Chicago,False,False,False,True,False,True,False,True,True
Wellington (Brown & Purple Lines),"(41.936033, -87.653266)",Lake View East,Chicago,False,False,False,True,False,True,False,False,False
Western (Blue Line - Forest Park Branch),"(41.875478, -87.688436)",Near West Side,Chicago,False,True,False,False,False,False,False,False,False
Western (Blue Line - O'Hare Branch),"(41.916157, -87.687364)",Bucktown,Chicago,False,True,False,False,False,False,False,False,False
Western (Brown Line),"(41.966163, -87.688502)",Lincoln Square,Chicago,False,False,False,True,False,False,False,False,False
Western (Orange Line),"(41.804546, -87.684019)",South Side,Chicago,False,False,False,False,False,False,False,False,True
Western (Pink Line),"(41.854225, -87.685129)",Lower West Side,Chicago,False,False,False,False,False,False,False,True,False
Wilson (Red & Purple Lines),"(41.964273, -87.657588)",Uptown,Chicago,True,False,False,False,False,True,False,False,False
